id_lokasi;kode_node;nama_lokasi;latitude;longitude;volume;jenis
149;tps_149;jalan baso dg ngerang;-4.009496;119.624723;82;TPS
150;tps_150;jalan andi cammi;-4.012847;119.621171;80;TPS
151;tps_151;jalan dg pawero;-4.007782;119.625033;75;TPS
152;tps_152;jalan guru m amin ;-4.01073;119.629102;67;TPS
153;tps_153;jalan guru m amin;-4.010477;119.629221;93;TPS
154;tps_154;jalan guru m amin;-4.009471;119.629354;71;TPS
155;tps_155;jalan gelatik;-4.009381;119.629203;77;TPS
156;tps_156;jalan gelatik;-4.009326;119.628748;64;TPS
157;tps_157;jalan andi laetong;-4.010677;119.628339;37;TPS
158;tps_158;jalan andi laetong;-4.010636;119.627645;65;TPS
159;tps_159;jalan gelatik;-4.009306;119.628553;90;TPS
160;tps_160;jalan gelatik;-4.009241;119.627822;41;TPS
161;tps_161;jalan muh arsyad;-4.009322;119.627722;91;TPS
162;tps_162;jalan muh arsyad;-4.009919;119.627655;47;TPS
163;tps_163;jalan muh arsyad;-4.010531;119.627585;39;TPS
164;tps_164;jalan samparaja;-4.010885;119.629116;46;TPS
165;tps_165;jalan samparaja;-4.011715;119.628565;98;TPS
166;tps_166;jalan samparaja;-4.012118;119.627636;54;TPS
167;tps_167;jalan pelita tenggara;-4.011304;119.62754;92;TPS
168;tps_168;jalan pelita tenggara;-4.011954;119.627526;63;TPS
169;tps_169;jalan a yani 9 ;-4.01289;119.626947;61;TPS
170;tps_170;jalan panca marga;-4.012561;119.626307;61;TPS
171;tps_171;jalan ganggawa;-4.01256;119.626075;52;TPS
172;tps_172;jalan ganggawa;-4.011741;119.625733;95;TPS
173;tps_173;jalan andi mappatola;-4.011343;119.625629;76;TPS
174;tps_174;jalan andi mappatola;-4.010735;119.625879;41;TPS
175;tps_175;jalan m kurdi;-4.010462;119.626187;96;TPS
176;tps_176;jalan m kurdi;-4.010604;119.627422;60;TPS
177;tps_177;jalan andi mappatola;-4.009927;119.626124;31;TPS
178;tps_178;jalan andi mappatola;-4.008921;119.626157;47;TPS
179;tps_179;jalan pettana rajeng;-4.009219;119.627647;99;TPS
180;tps_180;jalan pettana rajeng;-4.0091;119.626364;98;TPS
181;tps_181;jalan anggrek;-4.014794;119.624555;50;TPS
182;tps_182;jalan anggrek;-4.014563;119.624131;65;TPS
183;tps_183;jalan matahari;-4.014318;119.624794;68;TPS
184;tps_184;jalan anggrek;-4.014095;119.623754;72;TPS
185;tps_185;jalan matahari;-4.013944;119.623629;75;TPS
186;tps_186;jalan matahari;-4.013744;119.622975;98;TPS
187;tps_187;jalan h agussalim;-4.016517;119.623807;49;TPS
188;tps_188;jalan melati;-4.015189;119.624296;78;TPS
189;tps_189;jalan abdul kadir;-4.016182;119.62348;46;TPS
190;tps_190;jalan melati;-4.015061;119.623309;66;TPS
191;tps_191;jalan abdul kadir;-4.015879;119.622948;72;TPS
